id,pdb_id,gpcr_name,gpcr_class,subfamily,uniprot_id,species,description,method,resolution,pubmed_id,deposition_date,reference,gene_name,raw_pdb_file,mapping_pdb_file,fasta
,2KSA,SUBSTANCE-P RECEPTOR,a,TACHYKININ RECEPTORS,P25103,HOMO SAPIENS (HUMAN),SUBSTANCE P IN DMPC/CHAPS ISOTROPIC Q=0.25 BICELLES AS A LIGAND FOR NK1R,n,,20937248,2009-12-31,GAYEN ET AL. NMR EVIDENCE OF GM1-INDUCED CONFORMATIONAL CHANGE OF SUBSTANCE P USING ISOTROPIC BICELLES. BIOCHIM.BIOPHYS.ACTA. 2010.,TACR1,raw_pdbs/2KSA.pdb,mapped_pdb/2KSA_atlas.pdb,fastas/2KSA.fasta
,2KSB,SUBSTANCE-P RECEPTOR,a,TACHYKININ RECEPTORS,P25103,HOMO SAPIENS (HUMAN),SUBSTANCE P IN ISOTROPIC Q=0.25 DMPC/CHAPS/GM1 BICELLES AS A LIGAND FOR NK1R,n,,20937248,2009-12-31,GAYEN ET AL. NMR EVIDENCE OF GM1-INDUCED CONFORMATIONAL CHANGE OF SUBSTANCE P USING ISOTROPIC BICELLES. BIOCHIM.BIOPHYS.ACTA. 2010.,TACR1,raw_pdbs/2KSB.pdb,mapped_pdb/2KSB_atlas.pdb,fastas/2KSB.fasta
,2LNL,C-X-C CHEMOKINE RECEPTOR TYPE 1,a,CHEMOKINES AND CHEMOTACTIC FACTORS RECEPTORS,P25024,HOMO SAPIENS (HUMAN),STRUCTURE OF HUMAN CXCR1 IN PHOSPHOLIPID BILAYERS,s,,23086146,2011-12-31,"PARK ET AL. STRUCTURE OF THE CHEMOKINE RECEPTOR CXCR1 IN PHOSPHOLIPID BILAYERS. NATURE. 2012, 491, 779.",CXCR1,raw_pdbs/2LNL.pdb,mapped_pdb/2LNL_atlas.pdb,fastas/2LNL.fasta
,2PED,RHODOPSIN,a,OPSINS,P02699,BOS TAURUS (BOVINE),CRYSTALLOGRAPHIC MODEL OF 9-CIS-RHODOPSIN,x,2.95,17449675,2007-04-02,"NAKAMICHI ET AL. PHOTOISOMERIZATION MECHANISM OF RHODOPSIN AND 9-CIS-RHODOPSIN REVEALED BY X-RAY CRYSTALLOGRAPHY. BIOPHYS.J. 2007, 92, L106.",RHO,raw_pdbs/2PED.pdb,mapped_pdb/2PED_atlas.pdb,fastas/2PED.fasta
,2R4R,BETA-2 ADRENERGIC RECEPTOR,a,ADRENERGIC RECEPTORS,P07550,HOMO SAPIENS (HUMAN),CRYSTAL STRUCTURE OF THE HUMAN BETA2 ADRENOCEPTOR,x,3.4,17952055,2007-08-31,"RASMUSSEN ET AL. CRYSTAL STRUCTURE OF THE HUMAN BETA2 ADRENERGIC G-PROTEIN-COUPLED RECEPTOR. NATURE. 2007, 450, 383.",ADRB2,raw_pdbs/2R4R.pdb,mapped_pdb/2R4R_atlas.pdb,fastas/2R4R.fasta
,2R4S,BETA-2 ADRENERGIC RECEPTOR,a,ADRENERGIC RECEPTORS,P07550,HOMO SAPIENS (HUMAN),CRYSTAL STRUCTURE OF THE HUMAN BETA2 ADRENOCEPTOR,x,3.4,17952055,2007-08-31,"RASMUSSEN ET AL. CRYSTAL STRUCTURE OF THE HUMAN BETA2 ADRENERGIC G-PROTEIN-COUPLED RECEPTOR. NATURE. 2007, 450, 383.",ADRB2,raw_pdbs/2R4S.pdb,mapped_pdb/2R4S_atlas.pdb,fastas/2R4S.fasta
,2RH1,BETA-2 ADRENERGIC RECEPTOR,a,ADRENERGIC RECEPTORS,P07550,HOMO SAPIENS (HUMAN),HIGH RESOLUTION CRYSTAL STRUCTURE OF HUMAN B2-ADRENERGIC G PROTEIN-COUPLED RECEPTOR.,x,2.4,17962520,2007-10-05,"CHEREZOV ET AL. HIGH-RESOLUTION CRYSTAL STRUCTURE OF AN ENGINEERED HUMAN BETA2-ADRENERGIC G PROTEIN-COUPLED RECEPTOR. SCIENCE. 2007, 318, 1258.",ADRB2,raw_pdbs/2RH1.pdb,mapped_pdb/2RH1_atlas.pdb,fastas/2RH1.fasta
,2VT4,BETA-1 ADRENERGIC RECEPTOR,a,ADRENERGIC RECEPTORS,P07700,MELEAGRIS GALLOPAVO (WILD TURKEY),TURKEY BETA1 ADRENERGIC RECEPTOR WITH STABILISING MUTATIONS AND BOUND CYANOPINDOLOL,x,2.7,18594507,2008-05-09,"WARNE ET AL. STRUCTURE OF A BETA1-ADRENERGIC G-PROTEIN-COUPLED RECEPTOR. NATURE. 2008, 454, 486.",ADRB1,raw_pdbs/2VT4.pdb,mapped_pdb/2VT4_atlas.pdb,fastas/2VT4.fasta
,2X72,RHODOPSIN,a,OPSINS,P02699,BOS TAURUS (BOVINE),"CRYSTAL STRUCTURE OF THE CONSTITUTIVELY ACTIVE E113Q,D2C,D282C RHODOPSIN MUTANT WITH BOUND GALPHACT PEPTIDE.",x,3,21389983,2010-02-22,"STANDFUSS ET AL. THE STRUCTURAL BASIS OF AGONIST INDUCED ACTIVATION IN CONSTITUTIVELY ACTIVE RHODOPSIN. NATURE. 2011, 471, 656.",RHO,raw_pdbs/2X72.pdb,mapped_pdb/2X72_atlas.pdb,fastas/2X72.fasta
,2Y00,BETA-1 ADRENERGIC RECEPTOR,a,ADRENERGIC RECEPTORS,P07700,MELEAGRIS GALLOPAVO (WILD TURKEY),TURKEY BETA1 ADRENERGIC RECEPTOR WITH STABILISING MUTATIONS AND BOUND PARTIAL AGONIST DOBUTAMINE (CRYSTAL DOB92),x,2.5,21228877,2010-11-30,"WARNE ET AL. THE STRUCTURAL BASIS FOR AGONIST AND PARTIAL AGONIST ACTION ON A BETA1-ADRENERGIC RECEPTOR. NATURE. 2011, 469, 241.",ADRB1,raw_pdbs/2Y00.pdb,mapped_pdb/2Y00_atlas.pdb,fastas/2Y00.fasta
,2Y01,BETA-1 ADRENERGIC RECEPTOR,a,ADRENERGIC RECEPTORS,P07700,MELEAGRIS GALLOPAVO (WILD TURKEY),TURKEY BETA1 ADRENERGIC RECEPTOR WITH STABILISING MUTATIONS AND BOUND PARTIAL AGONIST DOBUTAMINE (CRYSTAL DOB102),x,2.6,21228877,2010-11-30,"WARNE ET AL. THE STRUCTURAL BASIS FOR AGONIST AND PARTIAL AGONIST ACTION ON A BETA1-ADRENERGIC RECEPTOR. NATURE. 2011, 469, 241.",ADRB1,raw_pdbs/2Y01.pdb,mapped_pdb/2Y01_atlas.pdb,fastas/2Y01.fasta
,2Y02,BETA-1 ADRENERGIC RECEPTOR,a,ADRENERGIC RECEPTORS,P07700,MELEAGRIS GALLOPAVO (WILD TURKEY),TURKEY BETA1 ADRENERGIC RECEPTOR WITH STABILISING MUTATIONS AND BOUND AGONIST CARMOTEROL,x,2.6,21228877,2010-11-30,"WARNE ET AL. THE STRUCTURAL BASIS FOR AGONIST AND PARTIAL AGONIST ACTION ON A BETA1-ADRENERGIC RECEPTOR. NATURE. 2011, 469, 241.",ADRB1,raw_pdbs/2Y02.pdb,mapped_pdb/2Y02_atlas.pdb,fastas/2Y02.fasta
,2Y03,BETA-1 ADRENERGIC RECEPTOR,a,ADRENERGIC RECEPTORS,P07700,MELEAGRIS GALLOPAVO (WILD TURKEY),TURKEY BETA1 ADRENERGIC RECEPTOR WITH STABILISING MUTATIONS AND BOUND AGONIST ISOPRENALINE,x,2.85,21228877,2010-11-30,"WARNE ET AL. THE STRUCTURAL BASIS FOR AGONIST AND PARTIAL AGONIST ACTION ON A BETA1-ADRENERGIC RECEPTOR. NATURE. 2011, 469, 241.",ADRB1,raw_pdbs/2Y03.pdb,mapped_pdb/2Y03_atlas.pdb,fastas/2Y03.fasta
,2Y04,BETA-1 ADRENERGIC RECEPTOR,a,ADRENERGIC RECEPTORS,P07700,MELEAGRIS GALLOPAVO (WILD TURKEY),TURKEY BETA1 ADRENERGIC RECEPTOR WITH STABILISING MUTATIONS AND BOUND PARTIAL AGONIST SALBUTAMOL,x,3.05,21228877,2010-11-30,"WARNE ET AL. THE STRUCTURAL BASIS FOR AGONIST AND PARTIAL AGONIST ACTION ON A BETA1-ADRENERGIC RECEPTOR. NATURE. 2011, 469, 241.",ADRB1,raw_pdbs/2Y04.pdb,mapped_pdb/2Y04_atlas.pdb,fastas/2Y04.fasta
,2YCW,BETA-1 ADRENERGIC RECEPTOR,a,ADRENERGIC RECEPTORS,P07700,MELEAGRIS GALLOPAVO (WILD TURKEY),TURKEY BETA1 ADRENERGIC RECEPTOR WITH STABILISING MUTATIONS AND BOUND ANTAGONIST CARAZOLOL,x,3,21540331,2011-03-17,"MOUKHAMETZIANOV ET AL. TWO DISTINCT CONFORMATIONS OF HELIX 6 OBSERVED IN ANTAGONIST-BOUND STRUCTURES OF A BETA-1- ADRENERGIC RECEPTOR. PROC.NATL.ACAD.SCI.USA. 2011, 108, 8228.",ADRB1,raw_pdbs/2YCW.pdb,mapped_pdb/2YCW_atlas.pdb,fastas/2YCW.fasta
,2YCX,BETA-1 ADRENERGIC RECEPTOR,a,ADRENERGIC RECEPTORS,P07700,MELEAGRIS GALLOPAVO (WILD TURKEY),TURKEY BETA1 ADRENERGIC RECEPTOR WITH STABILISING MUTATIONS AND BOUND ANTAGONIST CYANOPINDOLOL,x,3.25,21540331,2011-03-17,"MOUKHAMETZIANOV ET AL. TWO DISTINCT CONFORMATIONS OF HELIX 6 OBSERVED IN ANTAGONIST-BOUND STRUCTURES OF A BETA-1- ADRENERGIC RECEPTOR. PROC.NATL.ACAD.SCI.USA. 2011, 108, 8228.",ADRB1,raw_pdbs/2YCX.pdb,mapped_pdb/2YCX_atlas.pdb,fastas/2YCX.fasta
,2YCY,BETA-1 ADRENERGIC RECEPTOR,a,ADRENERGIC RECEPTORS,P07700,MELEAGRIS GALLOPAVO (WILD TURKEY),TURKEY BETA1 ADRENERGIC RECEPTOR WITH STABILISING MUTATIONS AND BOUND ANTAGONIST CYANOPINDOLOL,x,3.15,21540331,2011-03-17,"MOUKHAMETZIANOV ET AL. TWO DISTINCT CONFORMATIONS OF HELIX 6 OBSERVED IN ANTAGONIST-BOUND STRUCTURES OF A {BETA}1- ADRENERGIC RECEPTOR. PROC.NATL.ACAD.SCI.USA. 2011, 108, 8228.",ADRB1,raw_pdbs/2YCY.pdb,mapped_pdb/2YCY_atlas.pdb,fastas/2YCY.fasta
,2YCZ,BETA-1 ADRENERGIC RECEPTOR,a,ADRENERGIC RECEPTORS,P07700,MELEAGRIS GALLOPAVO (WILD TURKEY),TURKEY BETA1 ADRENERGIC RECEPTOR WITH STABILISING MUTATIONS AND BOUND ANTAGONIST IODOCYANOPINDOLOL,x,3.65,21540331,2011-03-17,"MOUKHAMETZIANOV ET AL. TWO DISTINCT CONFORMATIONS OF HELIX 6 OBSERVED IN ANTAGONIST-BOUND STRUCTURES OF A {BETA}1- ADRENERGIC RECEPTOR. PROC.NATL.ACAD.SCI.USA. 2011, 108, 8228.",ADRB1,raw_pdbs/2YCZ.pdb,mapped_pdb/2YCZ_atlas.pdb,fastas/2YCZ.fasta
,2YDO,ADENOSINE RECEPTOR A2A,a,ADENOSINE AND ADENINE NUCLEOTIDE RECEPTORS,P29274,HOMO SAPIENS (HUMAN),THERMOSTABILISED HUMAN A2A RECEPTOR WITH ADENOSINE BOUND,x,3,21593763,2011-03-23,"LEBON ET AL. AGONIST-BOUND ADENOSINE A(2A) RECEPTOR STRUCTURES REVEAL COMMON FEATURES OF GPCR ACTIVATION. NATURE. 2011, 474, 521.",ADORA2A,raw_pdbs/2YDO.pdb,mapped_pdb/2YDO_atlas.pdb,fastas/2YDO.fasta
,2YDV,ADENOSINE RECEPTOR A2A,a,ADENOSINE AND ADENINE NUCLEOTIDE RECEPTORS,P29274,HOMO SAPIENS (HUMAN),THERMOSTABILISED HUMAN A2A RECEPTOR WITH NECA BOUND,x,2.6,21593763,2011-03-24,"LEBON ET AL. AGONIST-BOUND ADENOSINE A(2A) RECEPTOR STRUCTURES REVEAL COMMON FEATURES OF GPCR ACTIVATION. NATURE. 2011, 474, 521.",ADORA2A,raw_pdbs/2YDV.pdb,mapped_pdb/2YDV_atlas.pdb,fastas/2YDV.fasta
,2Z73,RHODOPSIN,a,OPSINS,P31356,TODARODES PACIFICUS (JAPANESE FLYING SQUID),CRYSTAL STRUCTURE OF SQUID RHODOPSIN,x,2.5,18480818,2007-08-13,"MURAKAMI ET AL. CRYSTAL STRUCTURE OF SQUID RHODOPSIN. NATURE. 2008, 453, 363.",RHO,raw_pdbs/2Z73.pdb,mapped_pdb/2Z73_atlas.pdb,fastas/2Z73.fasta
,2ZIY,RHODOPSIN,a,OPSINS,P31356,TODARODES PACIFICUS (JAPANESE FLYING SQUID),CRYSTAL STRUCTURE OF SQUID RHODOPSIN,x,3.7,18463093,2008-02-27,"SHIMAMURA ET AL. CRYSTAL STRUCTURE OF SQUID RHODOPSIN WITH INTRACELLULARLY EXTENDED CYTOPLASMIC REGION. J.BIOL.CHEM. 2008, 283, 17753.",RHO,raw_pdbs/2ZIY.pdb,mapped_pdb/2ZIY_atlas.pdb,fastas/2ZIY.fasta
,3AYM,RHODOPSIN,a,OPSINS,P31356,TODARODES PACIFICUS (JAPANESE FLYING SQUID),CRYSTAL STRUCTURE OF THE BATHO INTERMEDIATE OF SQUID RHODOPSIN,x,2.8,21906602,2011-05-09,"MURAKAMI ET AL. CRYSTALLOGRAPHIC ANALYSIS OF THE PRIMARY PHOTOCHEMICAL REACTION OF SQUID RHODOPSIN. J.MOL.BIOL. 2011, 413, 615.",RHO,raw_pdbs/3AYM.pdb,mapped_pdb/3AYM_atlas.pdb,fastas/3AYM.fasta
,3AYN,RHODOPSIN,a,OPSINS,P31356,TODARODES PACIFICUS (JAPANESE FLYING SQUID),CRYSTAL STRUCTURE OF SQUID ISORHODOPSIN,x,2.7,21906602,2011-05-09,"MURAKAMI ET AL. CRYSTALLOGRAPHIC ANALYSIS OF THE PRIMARY PHOTOCHEMICAL REACTION OF SQUID RHODOPSIN. J.MOL.BIOL. 2011, 413, 615.",RHO,raw_pdbs/3AYN.pdb,mapped_pdb/3AYN_atlas.pdb,fastas/3AYN.fasta
,3C9L,RHODOPSIN,a,OPSINS,P02699,BOS TAURUS (BOVINE),STRUCTURE OF GROUND-STATE BOVINE RHODOSPIN IN A HEXAGONAL CRYSTAL FORM,x,2.65,18645239,2008-02-16,"STENKAMP ET AL. ALTERNATIVE MODELS FOR TWO CRYSTAL STRUCTURES OF BOVINE RHODOPSIN. ACTA CRYSTALLOGR.,SECT.D. 2008, 64, 902.",RHO,raw_pdbs/3C9L.pdb,mapped_pdb/3C9L_atlas.pdb,fastas/3C9L.fasta
,3C9M,RHODOPSIN,a,OPSINS,P02699,BOS TAURUS (BOVINE),STRUCTURE OF A MUTANT BOVINE RHODOPSIN IN HEXAGONAL CRYSTAL FORM,x,3.4,18645239,2008-02-16,"STENKAMP ET AL. ALTERNATIVE MODELS FOR TWO CRYSTAL STRUCTURES OF BOVINE RHODOPSIN. ACTA CRYSTALLOGR.,SECT.D. 2008, 64, 902.",RHO,raw_pdbs/3C9M.pdb,mapped_pdb/3C9M_atlas.pdb,fastas/3C9M.fasta
,3CAP,RHODOPSIN,a,OPSINS,P02699,BOS TAURUS (BOVINE),CRYSTAL STRUCTURE OF NATIVE OPSIN: THE G PROTEIN-COUPLED RECEPTOR RHODOPSIN IN ITS LIGAND-FREE STATE,x,2.9,18563085,2008-02-20,"PARK ET AL. CRYSTAL STRUCTURE OF THE LIGAND-FREE G-PROTEIN-COUPLED RECEPTOR OPSIN. NATURE. 2008, 454, 183.",RHO,raw_pdbs/3CAP.pdb,mapped_pdb/3CAP_atlas.pdb,fastas/3CAP.fasta
,3D4S,BETA-2 ADRENERGIC RECEPTOR,a,ADRENERGIC RECEPTORS,P07550,HOMO SAPIENS (HUMAN),CHOLESTEROL BOUND FORM OF HUMAN BETA2 ADRENERGIC RECEPTOR.,x,2.8,18547522,2008-05-14,"HANSON ET AL. A SPECIFIC CHOLESTEROL BINDING SITE IS ESTABLISHED BY THE 28 A STRUCTURE OF THE HUMAN BETA2-ADRENERGIC RECEPTOR. STRUCTURE. 2008, 16, 897.",ADRB2,raw_pdbs/3D4S.pdb,mapped_pdb/3D4S_atlas.pdb,fastas/3D4S.fasta
,3DQB,RHODOPSIN,a,OPSINS,P02699,BOS TAURUS (BOVINE),CRYSTAL STRUCTURE OF THE ACTIVE G-PROTEIN-COUPLED RECEPTOR OPSIN IN COMPLEX WITH A C-TERMINAL PEPTIDE DERIVED FROM THE GALPHA SUBUNIT OF TRANSDUCIN,x,3.2,18818650,2008-07-09,"SCHEERER ET AL. CRYSTAL STRUCTURE OF OPSIN IN ITS G-PROTEIN-INTERACTING CONFORMATION. NATURE. 2008, 455, 497.",RHO,raw_pdbs/3DQB.pdb,mapped_pdb/3DQB_atlas.pdb,fastas/3DQB.fasta
,3EML,ADENOSINE RECEPTOR A2A,a,ADENOSINE AND ADENINE NUCLEOTIDE RECEPTORS,P29274,HOMO SAPIENS (HUMAN),THE 2.6 A CRYSTAL STRUCTURE OF A HUMAN A2A ADENOSINE RECEPTOR BOUND TO ZM241385.,x,2.6,18832607,2008-09-24,"JAAKOLA ET AL. THE 26 ANGSTROM CRYSTAL STRUCTURE OF A HUMAN A2A ADENOSINE RECEPTOR BOUND TO AN ANTAGONIST. SCIENCE. 2008, 322, 1211.",ADORA2A,raw_pdbs/3EML.pdb,mapped_pdb/3EML_atlas.pdb,fastas/3EML.fasta
,3KJ6,BETA-2 ADRENERGIC RECEPTOR,a,ADRENERGIC RECEPTORS,P07550,HOMO SAPIENS (HUMAN),CRYSTAL STRUCTURE OF A METHYLATED BETA2 ADRENERGIC RECEPTOR-FAB COMPLEX,x,3.4,20054398,2009-11-02,"BOKOCH ET AL. LIGAND-SPECIFIC REGULATION OF THE EXTRACELLULAR SURFACE OF A G-PROTEIN-COUPLED RECEPTOR. NATURE. 2010, 463, 108.",ADRB2,raw_pdbs/3KJ6.pdb,mapped_pdb/3KJ6_atlas.pdb,fastas/3KJ6.fasta
,3NY8,BETA-2 ADRENERGIC RECEPTOR,a,ADRENERGIC RECEPTORS,P07550,HOMO SAPIENS (HUMAN),"CRYSTAL STRUCTURE OF THE HUMAN BETA2 ADRENERGIC RECEPTOR IN COMPLEX WITH THE INVERSE AGONIST ICI 118,551",x,2.84,20669948,2010-07-14,"WACKER ET AL. CONSERVED BINDING MODE OF HUMAN BETA(2) ADRENERGIC RECEPTOR INVERSE AGONISTS AND ANTAGONIST REVEALED BY X-RAY CRYSTALLOGRAPHY. J.AM.CHEM.SOC. 2010, 132, 11443.",ADRB2,raw_pdbs/3NY8.pdb,mapped_pdb/3NY8_atlas.pdb,fastas/3NY8.fasta
,3NY9,BETA-2 ADRENERGIC RECEPTOR,a,ADRENERGIC RECEPTORS,P07550,HOMO SAPIENS (HUMAN),CRYSTAL STRUCTURE OF THE HUMAN BETA2 ADRENERGIC RECEPTOR IN COMPLEX WITH A NOVEL INVERSE AGONIST,x,2.84,20669948,2010-07-14,"WACKER ET AL. CONSERVED BINDING MODE OF HUMAN BETA(2) ADRENERGIC RECEPTOR INVERSE AGONISTS AND ANTAGONIST REVEALED BY X-RAY CRYSTALLOGRAPHY. J.AM.CHEM.SOC. 2010, 132, 11443.",ADRB2,raw_pdbs/3NY9.pdb,mapped_pdb/3NY9_atlas.pdb,fastas/3NY9.fasta
,3NYA,BETA-2 ADRENERGIC RECEPTOR,a,ADRENERGIC RECEPTORS,P07550,HOMO SAPIENS (HUMAN),CRYSTAL STRUCTURE OF THE HUMAN BETA2 ADRENERGIC RECEPTOR IN COMPLEX WITH THE NEUTRAL ANTAGONIST ALPRENOLOL,x,3.16,20669948,2010-07-14,"WACKER ET AL. CONSERVED BINDING MODE OF HUMAN BETA(2) ADRENERGIC RECEPTOR INVERSE AGONISTS AND ANTAGONIST REVEALED BY X-RAY CRYSTALLOGRAPHY. J.AM.CHEM.SOC. 2010, 132, 11443.",ADRB2,raw_pdbs/3NYA.pdb,mapped_pdb/3NYA_atlas.pdb,fastas/3NYA.fasta
